Bert Abbey
Helen Bonchek Schneyer
Stephen Alonzo Schoff
Peter Schumann
Arthur E. Scott
Julian Scott
Thomas O. Seaver
Rudolf Serkin
Truman Seymour
L. M. Shaw
Patty Sheehan
Charles H. Sheldon
George Dallas Sherman
Alexander O. Smith
Bob Smith 
Charles Plympton Smith
David Smith 
Hyrum Smith
J. Gregory Smith
John Butler Smith
Joseph Smith
Joseph Smith
Samuel H. Smith 
William Smith 
William Farrar Smith
Aleksandr Solzhenitsyn
Ignat Solzhenitsyn
Ronald I. Spiers
Ken Squier
Martin St. Louis
Michael A. Stackpole
Heinie Stafford
Robert Stafford
Timothy Steele
Ralph Steiner
Rockwell Stephens
Nettie Stevens
Thaddeus Stevens
Charles B. Stoughton
Edwin H. Stoughton
F. Stewart Stranahan
George Crockett Strong
William Barstow Strong
Willis Sweet
Horace Austin Warner Tabor
Alphonso Taft
Cherilee Taylor
Louise Taylor
Birdie Tebbetts
Hannah Teter
Elswyth Thane
Harry Bates Thayer
John Martin Thomas
Stephen Thomas 
Tim Thomas 
Dorothy Thompson
Ernest Thompson
John Mellen Thurston
George Tooker
Andrew Tracy
Joseph Tracy
Maria von Trapp
Tasha Tudor
KT Tunstall
Fred Tuttle
Alexander Twilight
Royall Tyler
Dan Tyminski
Sharon Underwood
Don A. J. Upham
Samuel C. Upham
Rudy Vallée
James Van Ness
Stewart Van Vliet
Rick Veitch
William Freeman Vilas
James M. Warner
Seth Warner
Cephas Washburn
Ebenezer Washburn
Peter T. Washburn
Charles W. Waterman
Sterry R. Waterman
Andrew Wheating
William Almon Wheeler
Hilton Wick
Jody Williams
John Henry Williams 
Bill W.
James Wilson 
Steve Wisniewski
Brian Wood 
George Woodard
Urban A. Woodbury
Edwin T. Woodward
Dean Conant Worcester
Samuel Worcester
Jay Wright 
Silas Wright
Brigham Young
Thomas Yamamoto
Daphne Zuniga
Barry Zorthian
Category:People from Vermont
Category:Vermont-related lists
Category:Articles needing additional references from April 2008
Category:All articles needing additional references
Category:All articles with unsourced statements
Category:Articles with unsourced statements from February 2013
Category:Articles with unsourced statements from March 2011
Category:Articles to be expanded from July 2010
Category:All articles to be expanded
Category:Articles with empty sections from July 2010
Category:All articles with empty sections
Category:Articles with unsourced statements from March 2014
Category:Pages containing citation needed template with deprecated parameters
You're encouraged to log in; however
View the content page [c]
Discussion about the content page [t]
You can edit this page. Please use the preview button before saving [e]
Past versions of this page [h]
Visit the main page [z]
Find background information on current events
Load a random article [x]
Support us
Visit the Wikimedia Shop
About the project
A list of recent changes in the wiki [r]
Recent changes in pages linked from this page [k]
Upload files [u]
A list of all special pages [q]
Permanent link to this revision of the page
Link to connected data repository item [g]
Information on how to cite this page
Printable version of this page [p]
wikimedia:Privacy policy
