Augustus Chapman Allen
Stephen F. Austin
John Neely Bryan
Moses Austin Bryan
David G. Burnet
Prince Carl of Solms-Braunfels
Henri Castro
Jesse Chisholm
Jao de la Porta
Friedrich Diercks
Warren Angus Ferris
Henry Francis Fisher
Sam Houston
Anson Jones
Mirabeau B. Lamar
Jane Herbert Wilkinson Long
Collin McKinney
Jose Antonio Navarro
Cynthia Ann Parker
Emily Austin Perry
Thomas Jefferson Rusk
Edwin Waller
Lorenzo de Zavala
James Bowie
William Joel Bryan
Edward Burleson
John Coker
Davy Crockett
James Fannin
Thomas Green 
Sam Houston
Henry Karnes
Robert J. Kleberg
Benjamin Milam
Emily West Morgan
Juan Seguin
John William Smith
William B. Travis
Logan Vandeveer
John Henry Brown
Nicholas Henry Darnell
Richard W. Dowling
John Salmon Ford
John Bell Hood
Samuel Ealy Johnson
Albert Sidney Johnston
John J. Kennedy 
John B. Magruder
Benjamin McCulloch
Henry Eustace McCulloch
Felix Huston Robertson
Lawrence Sullivan Ross
William Read Scurry
Pleasant Tackitt
Charles S. West
Louis T. Wigfall
William S. Graves
David E. Hayden
Robert Lee Howze
Louis Jordan 
Harlon Block
Charles P. Cabell
Horace S. Carswell
Claire Chennault
Robert G. Cole
Samuel David Dealey
Ira C. Eaker
Calvin Graham
Dean E. Hallmark
Oveta Culp Hobby
James L. Holloway
Neel E. Kearby
Raymond L. Knight
Felix Z. Longoria
Glenn McDuffie
Doris Miller
Audie Murphy
Chester Nimitz
Bruce Palmer
James Earl Rudder
William H. Simpson
Wilburn Snyder
Lucian K. Truscott
Edwin Walker
Walton Walker
Charles F. Pendleton
Oliver P. Smith
Edwin Walker
Walton Walker
Roy Benavidez
Alfredo Cantu Gonzalez
David H. McNerney
Oliver North
Bruce Palmer
Alfred M. Wilson
Marcus Luttrell
William H. McRaven
Patrick M. Walsh
Billy Waugh
Chris Kyle
Kristian Menchaca
Greg Abbott
Cathie Adams
Fred Agnich
Elizabeth Alexander 
Joseph Hugh Allen
Rodney Anderson 
Betty Andujar
Ernest Angelo
Trent Ashby
Ben Barnes 
Ray Barnhart
Roy Bass
Robert Emmett Bledsoe Baylor
Tina Benkiser
Lloyd Bentsen
Leo Berman
Teel Bivins
Bill Blythe
Robert L. Bobbitt
Elton Bomer
Henry Bonilla
Dennis Bonnen
Greg Bonnen
Charles Robert Borchers
Jeffrey S. Boyd
Stephen Broden
Louis H. Bruni
"J. E. ""Buster"" Brown"
Esther Buckley
Orville Bullington
Cindy Burkett
Joel Burns 
Albert S. Burleson
Edward Burleson
Jeb Bush
George C. Butte
Angie Chen Button
Frank Kell Cahoon
Erwin Cain
Bill Callegari
Donna Campbell
Francisco Canseco
Kent Caperton
J. Allen Carnes
John Carona
Victor G. Carrillo
Stefani Carter
Carter Casteel
Henry E. Catto
Lauro Cavazos
Francis Cherry 
Wayne Christian
Henry Cisneros
Tom C. Clark
Ron Clark 
David Cobb
Susan Combs
John B. Connally
Wayne Connally
Kilmer B. Corbin
John Cornyn
Frank Corte
Tom Craddick
Juanita Craft
Brandon Creighton
Ted Cruz
Henry Cuellar
Tony Dale
Price Daniel
Nicholas Henry Darnell
David Dewhurst
John E. Davis 
Wendy Davis 
Robert Eckels
Paul Eggers
Gary Elkins 
Ed Emmett
Pat Fallon
David Farabee
Ray Farabee
Marsha Farney
James E. Ferguson
