Wesley Clark
Nathaniel Clifton
Hillary Rodham Clinton
Ed Coady
Ali Cobrin
Diablo Cody
Jerry Colangelo
Stephen Colbert
Freddy Cole
Gary Cole
James M. Cole
Nat King Cole
Bessie Coleman
Gary Coleman
Edward Coles
Ned Colletti
Harold R. Collier
Bob Collins 
Cardiss Collins
Chris Collins 
Doug Collins 
Eddie Collins
Sherron Collins
James Colosimo
George Radcliffe Colton
Harvey Doolittle Colvin
Shawn Colvin
Harry Combes
Charles Comiskey
Grace Comiskey
J. Louis Comiskey
Common 
Ann Compton
Douglas Conant
Jocko Conlan
Darlene Conley
Mike Conley
Bart Conner
George Connor 
Jimmy Connors
Robert Conrad
Sean Considine
Hollis Conway
Brian Cook
Daniel Pope Cook
Elisha Cook
Toi Cook
Sam Cooke
Ron Coomer
Cynthia Cooper-Dyke
Martin Cooper 
Maxine Cooper
Ira C. Copley
Tom Corcoran 
Billy Corgan
Jim Cornelison
Don Cornelius
Frank J. Corr
Charles Correll
Dave Corzine
Jon Corzine
Jerry F. Costello
John Coughlin 
Bryan Cox
Kendall Coyne
James Gould Cozzens
Yvonne Craig
Dan Crane
Phil Crane
Cindy Crawford
Dewitt Clinton Cregier
John Crerar 
Jim Crews
Michael Crichton
Fritz Crisler
Kevin Cronin
Casey Crosby
Jim Crowley
Dave Cruikshank
Shelby Moore Cullom
Terry Cummings
Barbara Flynn Currie
Betty Currie
Adrianne Curry
Eddy Curry
James Curtiss
Ann Cusack
Joan Cusack
John Cusack
Clive Cussler
Zygmont Czarobski
Bill Daily
John Francis Daley
Richard J. Daley
Richard M. Daley
William M. Daley
Joel Daly
Owen Daniels
Randy Daniels
Erik Darnell
Lisa Darr
Clarence Darrow
Tom Dart
Kristin Dattilo
Brian Daubach
George Davenport
Andrew Davis 
Anthony Davis 
Clifton Davis
Danny K. Davis
David Davis 
George Davis 
George R. Davis
Jessie Bartlett Davis
Miles Davis
Orbert Davis
Rece Davis
Scott Davis 
Shani Davis
Zachary Taylor Davis
Clinton Davisson
Charles G. Dawes
William L. Dawson 
Jeffery Deaver
H. Joel Deckard
Karen DeCrow
Merri Dee
John Deere 
Archie Dees
Jack DeJohnette
Lois Delander
Floyd Dell
The Dells
Bruce DeMars
Charles S. Deneen
Edward E. Denison
Richard Dent
Oscar Stanton De Priest
Bruce Dern
Ed Derwinski
Tony DeSantis
Jackie DeShannon
Paul Des Jardien
William Emmett Dever
Karla DeVito
James Dewar 
John Dewey
Lee DeWyze
Susan Dey
Dennis DeYoung
David Diaz 
Andy Dick
Philip K. Dick
Bo Diddley
David Diehl
Doug Dieken
Ryan Diem
Scott Dierking
William H. Dieterich
Charles Henry Dietrich
John Dillinger
Melinda Dillon
Paul Dinello
Everett Dirksen
Roy O. Disney
Walt Disney
Mike Ditka
Alan J. Dixon
Sherwood Dixon
Willie Dixon
Conrad Dobler
Larry Doby
Dorothy L. Dodson
Dave Dombrowski
Professor Mike Donovan
Tom Dore
John Dos Passos
Emily Taft Douglas
Mike Douglas
Paul Douglas
Stephen A. Douglas
Dave Downey
Mike Downey
Susan Downey
Larry Doyle 
John Drake 
Tracy Drake
Jack Drees
Theodore Dreiser
Chuck Dressen
Paddy Driscoll
Vincent Drucci
John Drury 
Charles Dryden
Kevin Duckworth
Tammy Duckworth
Dennis Dugan
Arne Duncan
Michael Clarke Duncan
Katherine Dunham
Kevin Dunn
Nora Dunn
Finley Peter Dunne
Edward Fitzsimmons Dunne
George Dunne
Murphy Dunne
