Daniel Fry
Allen J. Furlow
Wanda Gág
John Gagliardi
Greg Gagne 
Greg Gagne 
Verne Gagne
Neil Gaiman
Daniele Gaither
Thomas J. Galbraith
Richard Pillsbury Gale
William Gallagher 
Jane Gallop
Chick Gandil
Roy Alexander Gano
Ron Gardenhire
5th Duke of Cleveland hoax
Judy Garland
Lorraine Garland
Ed Garvey
Mike Garvey
Charles Gilbert Gates
Larry Gates
Herbjørn Gausta
Tom Gilbert
"Ron ""Boogiemonster"" Gerber"
J. Paul Getty
John L. Gibbs
Tom Gibis
Cass Gilbert
Stan Gilbertson
John Gilfillan
Charles A. Gilman
Terry Gilliam
Sid Gillman
Robert R. Gilruth
Dan Gladden
Billy Glaze
Arne Glimcher
James B. Goetz
Godfrey G. Goodwin
Samuel Y. Gordon
Genevieve Gorder
Willis Arnold Gorman
Irving I. Gottesman
Moonlight Graham
Billy Graham
Kelsey Grammer
Rod Grams
Bud Grant
Mary GrandPré
Mudcat Grant
Peter Graves 
Lauren Green
Dennis Green
Steven Greenberg 
Ingebrikt Grose
Joan Growe
Ann Morgan Guilbert
Bill Gullickson
Gil Gutknecht
Joe Guyon
Cristian Guzmán
Tom Hagedorn
Gulbrand Hagen
Harold Hagen
Molly Hagan
Darwin Hall
Osee M. Hall
Philo Hall
Walter Halloran
Kittel Halvorson
Trina Hamlin
Winfield Scott Hammond
Greg Handevidt
Alan Hangsleben
Dick Hanley 
Jack Hannahan
Courtney Hansen
Duane Hanson
Jeff Hanson
Arthur Harkins
Poppy Harlow
Brian Harper
Har Mar Superstar
Donald Harris 
Irving Harris
William H. Harries
Napoleon Harris
Samantha Harris
Ellen Hart
Grant Hart
Brynn Hartman
Josh Hartnett
Sid Hartman
Jon Hassler
Mike Hatch
Brenton G. Hayden
Bernt B. Haugan
Randolph Edgar Haugan
Louis J. Hauge
Marty Haugen
Pete Hautman
John Hawkes 
Joel Heatwole
Mitch Hedberg
Bret Hedican
Garrett Hedlund
Tippi Hedren
William Heffelfinger
Road Warrior Hawk
Raina Hein
Lawrence Heinemi
Luke Helder
E. J. Henderson
Skitch Henderson
Ben Hendrickson
Darby Hendrickson
Curt Hennig
Michael McGillicutty
Larry Hennig
Louis Hennepin
Abigail and Brittany Hensel
Barton Hepburn
Don Herbert
Maureen Herman
Bryan Hickerson
Wally Hilgenberg
George Roy Hill
James J. Hill
Peter Himmelman
John H. Hinderaker
Larry Hisle
Charles Hoag
Tami Hoag
Leroy Hoard
Jamie Hoffmann
Tobias Hogan
Einar Hoidale
Mary Liz Holberg
William Holcombe
Perry Greeley Holden
Bill Holm 
Paul Holmgren
James Hong
Townsend Hoopes
Eric Hoplin
George A. Hormel
Geordie Hormel
James Hormel
Jay Catherwood Hormel
Aaron Hosack
Harold Hotelling
Phil Housley
Guy V. Howard
Kent Hrbek
Lucius Frederick Hubbard
Don Hultz
Ramon Humber
Oliver Humperdink
Hubert Humphrey
Muriel Humphrey
Skip Humphrey
Kris Humphries
Torii Hunter
Leonid Hurwicz
Lloyd Hustvedt
Siri Hustvedt
Peter Hutchinson
Tim Irwin
Barney Irwin
Scott Irwin
Doran Isackson
Sharon Isbin
Dan Israel
I Self Devine
Ishtakhaba
Gideon S. Ives
Carl Richard Jacobi
Sam Jacobson
Jimmy Jam
Erasmus James
Harry August Jansen
Lee Janzen
Kenny Jay
Sue Jeffers
Claudia Jennings
Mason Jennings
Carl Jensen 
Jim Jensen 
Herb Joesting
Bob Johnson 
Brad Johnson 
Craig Johnson 
Dan Johnson 
Dean Johnson
Dewey Johnson
Earl V. Johnson
Erik Johnson
Gordon Johnson 
Jellybean Johnson
Jim Johnson 
John Albert Johnson
Josh Johnson 
Magnus Johnson
Marcus Johnson
Mark Johnson 
Mark Steven Johnson
Marlene Johnson
Paul Johnson 
Reynold B. Johnson
Ron Johnson 
Scott W. Johnson
Spencer Johnson 
Lance Johnstone
Jacques Jones
Ray W. Jones
Bennie Joppru
Steve Jordan 
Carl O. Jorgenson
Bradley Joseph
Walter Judd
Jerry Juhl
Dan Jurgens
Jim Kaat
John Anthony Kaiser
Henry Kalis
Rick Kamla
Joe Kapp
Rich Karlis
Joseph Karth
Vincent Kartheiser
Evan Kaufmann
Maude Kegg
Tim Kehoe
Garrison Keillor
Alexander M. Keith
James Keller 
Melissa Keller
Oscar Keller
Wade Keller
Devin Kelley
John Edward Kelley
Steve Kelley 
Frank Kellogg
Randy Kelly
Tom Kelly 
Linda Kelsey
Mark Kennedy 
Elizabeth Kenny
George Keogan
Ancel Keys
Leonard Kibrick
Sidney Kibrick
Jefferson P. Kidder
Dana Kiecker
Andrew Kiefer
Mary Kiffmeyer
Craig Kilborn
John N. Kildahl
Harmon Killebrew
Ward Kimball
Charles Kimbrough
William S. King
William W. Kingsbury
Sheila Kiscaden
Jeremy James Kissner
Norman Kittson
Trent Klatt
Kurt Kleinendorst
Scot Kleinendorst
Jim Kleinsasser
John Kline 
Amy Klobuchar
Chuck Klosterman
Chris Kluwe
T. R. Knight
Chuck Knoblauch
Coya Knutson
Harold Knutson
Paul Koering
Nikita Koloff
Jerry Koosman
Charlie Korsmo
Corey Koskie
Kristina Koznick
Tommy Kramer
Herbert Arthur Krause
Paul Krause 
Peter Krause
Richard E. Kraus
Mitch Krebs
Joan B. Kroc
Pat Kronebusch
Helen Barbara Kruger
Robert T. Kuhn
Bernie Kukar
William F. Kunze
Tom Kurvers
Ole J. Kvale
Paul John Kvale
Ben Kyle
James D. La Belle
Rob LaBelle
Manuel Lagos
Ann Landers
Lenny Lane
Odin Langen
Jessica Lange
Jim Lange
Jamie Langenbrunner
Josh Langfeld
Katherine Lanpher
Gene Larkin
Erik Larsen
Gary Larsen
Oscar Larson
Reed Larson
George Latimer 
Roger Laufenburger
Tom Laughlin 
Trevor Laws
Matt Lawton
Bernie Leadon
Carrie Lee
Carl Lee 
Tammy Lee
Pinky Lee
James LeGros
Tom Lehman
John D. LeMay
Greg LeMond
Brock Lesnar
Meridel Le Sueur
Jon Leuer
Harold LeVander
David Levin 
Mark LeVoir
Robert B. Lewis
Sinclair Lewis
Jimmy Jam and Terry Lewis
Walter Liggett
C. Walton Lillehei
John Lind 
Gottfrid Lindsten
Terrance Lindall
Charles August Lindbergh
Charles Lindbergh
Chris Liwienski
Charles M. Loring
Maud Hart Lovelace
Kirk Lowdermilk
Cal Ludeman
Ernest Lundeen
Bob Lurtsema
Bill Luther
David Lykken
Joseph Lykken
Dorothy Lyman
Kelly Lynch
Audra Lynn
Jerry Lynn
Melvin Maas
John L. MacDonald
